date,Firm,Sample,Turnout,People%27s_Party_(Spain),Spanish_Socialist_Workers%27_Party,United_Left_(Spain),Convergence_and_Union,Basque_Nationalist_Party,Galician_Nationalist_Bloc,Canarian_Coalition,Republican_Left_of_Catalonia,Lead
2004-03-14,2004 general election,NA,75.7,37.7,42.6,5,3.2,1.6,0.8,0.9,2.5,4.9
2004-03-14,Sigma Dos/Antena 3[a][1],NA,NA,37.5,42.7,5.3,3.1,1.7,NA,NA,NA,5.2
2004-03-14,Sigma Dos/Antena 3[1][2][3][4],75000,NA,38.5,41,5.4,3.3,1.6,1,0.9,2.3,2.5
2004-03-14,Ipsos–Eco/RTVE–FORTA[2][3][5],210000,NA,36.9,41.4,6.3,3,1.4,0.9,0.9,2.3,4.5
2004-03-13,TNS Demoscopia/Tele 5[3][6][7],NA,NA,40.6,38.3,6.5,3,1.5,NA,0.9,2.7,2.3
2004-03-12,Opina/Cadena SER[2][8],NA,NA,39.5,40.5,6.1,3,1.2,NA,NA,NA,1.0
2004-03-12,Sigma Dos[1],NA,NA,40.3,39.6,5.2,3.3,1.8,NA,NA,NA,0.7
2004-03-10,Sigma Dos[1],NA,NA,41.2,38.4,5.3,3.3,1.8,NA,NA,NA,2.8
2004-03-08,TNS Demoscopia/Tele 5[9],3031,NA,42.5,37.8,NA,NA,NA,NA,NA,NA,4.7
2004-03-07,Opina/Cadena SER[10][11],NA,NA,40.5,38,5.8,3.6,1.4,1.1,0.8,2,2.5
2004-03-06,Opina/Cadena SER[12][13][14],NA,NA,40.5,37,5.8,3.8,1.5,NA,NA,NA,3.5
2004-03-06,Sigma Dos/El Mundo[15][16],1000,NA,42.1,37.6,5.3,3.4,1.8,1.2,1,2,4.5
2004-03-06,Celeste-Tel/La Razón[17][18],601,74.1,42.9,37.6,6.6,3.4,1.7,1.1,0.9,1.6,5.3
2004-03-05,Opina/Cadena SER[19][20][21],NA,NA,41,37,6,4,1.5,NA,NA,NA,4.0
2004-03-05,Celeste-Tel/La Razón[22][23][24],2404,72.1,42.9,37.2,5.9,3.5,1.7,NA,0.9,1.5,5.7
2004-03-04,Opina/Cadena SER[25][26][27],NA,NA,41.5,36.5,7,3.5,1.5,NA,NA,NA,5.0
2004-03-03,TNS Demoscopia/Tele 5[28],NA,NA,42.1,37,NA,NA,NA,NA,NA,NA,5.1
