date,Firm,Sample,Turnout,Spanish_Socialist_Workers%27_Party,People%27s_Party_(Spain),"Plural_Left_(Spain,_2011)",Convergence_and_Union,Basque_Nationalist_Party,"Union,_Progress_and_Democracy",Republican_Left_of_Catalonia,Galician_Nationalist_Bloc,Canarian_Coalition,Amaiur,Lead
2011-11-20,2011 general election,NA,68.9,28.8,44.6,6.9,4.2,1.3,4.7,1.1,0.8,0.6,1.4,15.8
2011-11-20,TNS Demoscopia/RTVE–FORTA[1][2],190000,NA,30,43.5,6.7,3.4,1.2,4.3,1.1,0.8,0.6,1.4,13.5
2011-11-20,NC Report/La Razón[3][4],771,71.1,31.7,45.5,7.9,3.3,1.2,2.4,0.7,1,0.8,NA,13.8
2011-11-19,PP[5],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-11-16,Sigma Dos/The Times[6][7],NA,NA,28,48,6.7,3.1,NA,3.8,NA,NA,NA,NA,20.0
2011-11-13,Infortécnica[8],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-11-12,GESOP/El Periódico[9],2070,NA,30.2,46.2,6,3.2,1.1,4.4,1.1,NA,NA,1.1,16.0
2011-11-11,Tábula V/La Gaceta[10],1400,79,31.3,45.2,8.9,3.2,1.4,3.2,1.3,0.8,0.6,1.6,13.9
2011-11-11,NC Report/La Razón[11][12],5750,NA,31,45.9,7.2,3.3,1.3,2.8,0.9,1,0.8,NA,14.9
2011-11-10,Opinión 2000/Cadena SER[13][14],1000,NA,32,45,6,3.5,1.5,3,1,NA,NA,1,13.0
2011-11-10,Noxa/La Vanguardia[15],1275,70,30.1,44.7,7.8,3.3,1,4.6,0.7,NA,NA,0.6,14.6
2011-11-10,Simple Lógica[16],1009,73.7,31.2,46.1,5.5,3.5,0.6,3.7,NA,NA,NA,NA,14.9
2011-11-10,GAD3/COPE[17][18],1395,NA,31.8,45.4,5.6,3.3,1.3,3.4,0.8,0.8,0.9,1.4,13.6
2011-11-10,Sigma Dos/El Mundo[19][20],3000,NA,29.8,47.6,5.7,3.8,1.3,3,0.9,NA,NA,NA,17.8
2011-11-09,Sondaxe/La Voz de Galicia[21],NA,NA,31.6,47.1,5.3,3.6,0.7,2.3,0.8,0.7,0.2,NA,15.5
