date,Firm,Sample,Turnout,People%27s_Party_(Spain),Spanish_Socialist_Workers%27_Party,Popular_Unity_(Spain),"Union,_Progress_and_Democracy",Convergence_and_Union,EH_Bildu,Basque_Nationalist_Party,Republican_Left_of_Catalonia%E2%80%93Catalonia_Yes,Galician_Nationalist_Bloc,Canarian_Coalition,Coalici%C3%B3_Comprom%C3%ADs,Citizens_(Spanish_political_party),Podemos_(Spanish_political_party),Democratic_Convergence_of_Catalonia,Democracy_and_Freedom,"Plural_Left_(Spain,_2011)",Lead,Amaiur
2015-12-20,2015 general election,NA,69.7,28.7,22,3.7,0.6,NA,0.9,1.2,2.4,0.3,0.3,NA,13.9,20.7,2.2,6.7,NA,NA,NA
2015-12-20,TNS Demoscopia/RTVE–FORTA[1][2],177100,NA,26.8,20.5,4.1,1.1,NA,1,1.1,2.5,0.3,0.3,NA,15.2,21.7,1.7,5.1,NA,NA,NA
2015-12-19,Redondo & Asociados[3],1790,NA,29.3,20.7,3.3,0.3,NA,1.2,1.4,1.7,0.3,0.4,NA,16.6,19.5,1.8,8.6,NA,NA,NA
2015-12-19,GESOP/El Periòdic[4],950,75,26.6,20.1,4,NA,NA,NA,NA,NA,NA,NA,NA,15.3,21.5,NA,5.1,NA,NA,NA
2015-12-18,GESOP/El Periòdic[5],800,75,26.6,20.8,4.4,NA,NA,NA,NA,NA,NA,NA,NA,15.5,20.1,NA,5.8,NA,NA,NA
2015-12-18,GAD3/Antena 3[6],7000,74,28.1,20.4,4.3,NA,NA,0.9,1.3,2.7,NA,0.3,NA,14.9,21.1,1.8,7,NA,NA,NA
2015-12-17,GESOP/El Periòdic[7],750,74,25.8,21.4,3.8,NA,NA,NA,NA,NA,NA,NA,NA,16,20.4,NA,4.4,NA,NA,NA
2015-12-16,GESOP/El Periòdic[8],700,74,26.2,21,3.7,NA,NA,NA,NA,NA,NA,NA,NA,15.9,20.4,NA,5.2,NA,NA,NA
2015-12-15,GESOP/El Periòdic[9],650,NA,25.4,20.6,4.5,NA,NA,NA,NA,NA,NA,NA,NA,16.3,19.6,NA,4.8,NA,NA,NA
2015-12-14,GESOP/El Periòdic[10],700,NA,25.4,20.9,4.8,NA,NA,NA,NA,NA,NA,NA,NA,17.2,19,NA,4.5,NA,NA,NA
2015-12-14,GAD3/Antena 3[11],3200,NA,28.6,21,3.9,NA,NA,1.1,1.3,2.3,NA,0.4,NA,17.6,17.9,2.4,7.6,NA,NA,NA
2015-12-14,Encuestamos[12],2000,NA,26.9,22.9,4,NA,NA,1.1,1.4,2.2,NA,NA,NA,17,18.6,1.9,4,NA,NA,NA
2015-12-14,GIPEyOP[13],14005,NA,24.5,21.3,3.8,0.9,NA,1.2,1.2,3.2,0.5,0.5,NA,16.5,19.9,2.7,3.2,NA,NA,NA
2015-12-13,JM&A/Público[14],NA,74.6,27.7,18.6,3.1,0.3,NA,1,1.3,2.1,0.5,0.5,NA,20.1,18,2.3,7.6,NA,NA,NA
2015-12-13,TNS Demoscopia/Antena 3[15][16],1017,NA,28.9,18.9,4.8,NA,NA,NA,NA,NA,NA,NA,NA,20,17.3,NA,8.9,NA,NA,NA
2015-12-12,GESOP/El Periódico[17][18],800,NA,25.2,20.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,18.4,NA,4.4,NA,NA,NA
2015-12-12,NC Report/La Razón[19][20],3000,75.8,29.9,22,3.3,0.3,NA,1.1,1,2,0.4,0.3,NA,17.8,16.3,1.9,7.9,NA,NA,NA
2015-12-11,Celeste-Tel/eldiario.es[21][22],1100,72.7,28.1,22.7,3.5,0.4,NA,1.1,1.2,2,0.4,0.3,NA,18.1,17,2,5.4,NA,NA,NA
2015-12-11,InvyMark/laSexta[23][24][25],NA,NA,29,18.9,3.6,0.1,NA,NA,NA,NA,NA,NA,NA,18.9,17.2,NA,10.1,NA,NA,NA
2015-12-11,Demoscopia Servicios/esRadio[26][27],1500,NA,28.8,19.7,2.7,0.2,NA,NA,NA,NA,NA,NA,NA,19.9,17.9,1.2,8.9,NA,NA,NA
