date,Firm,Sample,Turnout,People%27s_Party_(Spain),Spanish_Socialist_Workers%27_Party,Podemos_(Spanish_political_party),Citizens_(Spanish_political_party),Popular_Unity_(Spain),Republican_Left_of_Catalonia%E2%80%93Catalonia_Yes,Democracy_and_Freedom,Democratic_Convergence_of_Catalonia,Basque_Nationalist_Party,Animalist_Party_Against_Mistreatment_of_Animals,EH_Bildu,Canarian_Coalition,Unidos_Podemos
2016-06-26,2016 general election,NA,66.5,33,22.6,NA,13.1,NA,2.7,2,1.2,1.2,0.8,0.3,21.2,10.4
2016-06-26,Sigma Dos/RTVE–FORTA[1][2],132000,NA,28.5,22,NA,11.8,NA,3.1,1.4,1.3,NA,1,0.3,25.6,2.9
2016-06-25,NC Report[3],NA,NA,31.9,22,NA,13,NA,2.4,1.8,1.1,NA,0.8,0.3,23.7,8.2
2016-06-25,GESOP/El Periòdic[4],1000,68,28.7,21.6,NA,14.5,NA,NA,NA,NA,NA,NA,NA,23.9,4.8
2016-06-24,GESOP/El Periòdic[5],900,70,28.7,21.6,NA,14.9,NA,NA,NA,NA,NA,NA,NA,23.7,5
2016-06-24,GAD3/ABC[6],4000,NA,30.4,21.8,NA,13.2,NA,2.8,1.6,1.2,NA,0.9,0.3,24.8,5.6
2016-06-23,NC Report[3],NA,NA,31.7,21.6,NA,13.1,NA,2.3,1.7,1.1,NA,0.7,0.3,24.5,7.2
2016-06-23,GESOP/El Periòdic[7],900,69,28,21.8,NA,15.2,NA,NA,NA,NA,NA,NA,NA,24,4
2016-06-22,GESOP/El Periòdic[8],900,69,28.2,21.7,NA,15.2,NA,NA,NA,NA,NA,NA,NA,23.6,4.6
2016-06-21,NC Report[3],NA,NA,31.3,21.4,NA,13.2,NA,2.3,1.7,1.1,NA,0.7,0.3,25.1,6.2
2016-06-21,GESOP/El Periòdic[9],900,68,28.5,21.5,NA,15.2,NA,NA,NA,NA,NA,NA,NA,23.7,4.8
2016-06-20,GESOP/El Periòdic[10],900,69,29,21.5,NA,14.9,NA,NA,NA,NA,NA,NA,NA,23.7,5.3
2016-06-20,GAD3/ABC[11],1900,NA,30.7,21.2,NA,14.1,NA,NA,NA,NA,NA,NA,NA,24.9,5.8
2016-06-20,GIPEyOP[12],10244,NA,29.5,22,NA,14.5,NA,2.7,2,1.1,NA,0.9,NA,24.5,5
2016-06-19,Redondo & Asociados/Expansión[13],NA,NA,29.4,21.5,NA,15.1,NA,NA,NA,NA,NA,NA,NA,24.9,4.5
2016-06-19,JM&A/Público[14],NA,69,29.8,22.1,NA,13.9,NA,2.4,2.2,1.3,NA,0.9,0.3,23.9,5.9
2016-06-19,Infortécnica[15][16],2071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-06-19,InvyMark/laSexta[17][18],1200,NA,30.1,19.9,NA,13.8,NA,NA,NA,NA,NA,NA,NA,26.1,4
2016-06-19,GESOP/El Periódico[19],900,70,28.3,21.9,NA,14.9,NA,NA,NA,NA,NA,NA,NA,24,4.3
2016-06-19,TNS Demoscopia[20],500,70,29.6,21,NA,14.8,NA,NA,NA,NA,NA,NA,NA,24.7,4.9
2016-06-19,Encuestamos[21],2400,NA,30.6,22,NA,13.6,NA,2.2,2,1.2,NA,0.8,0.2,23.9,6.7
2016-06-18,GESOP/El Periódico[22],900,71,28.8,21.6,NA,15.4,NA,NA,NA,NA,NA,NA,NA,23.7,5.1
2016-06-17,GESOP/El Periódico[23],900,70,28.3,21.2,NA,15.6,NA,NA,NA,NA,NA,NA,NA,24.2,4.1
2016-06-17,Celeste-Tel/eldiario.es[24],1100,66.5,30.5,21.8,NA,13.3,NA,2.4,1.7,1.1,0.8,0.8,0.3,25.3,5.2
2016-06-17,A+M/20minutos[25],4000,68.8,28.8,21.7,NA,16.2,NA,2.3,1.7,1.1,NA,0.8,0.2,24.3,4.5
2016-06-17,Hamalgama Métrica/La Provincia[26],1450,69.7,30.4,21,NA,12.5,NA,2.1,2,1.3,NA,0.8,0.3,26.2,4.2
2016-06-17,Netquest/El Español[27],2000,NA,30.4,20.4,NA,15.2,NA,NA,NA,NA,NA,NA,NA,24,6.4
2016-06-17,NC Report/La Razón[28][29],2000,64.6,31.1,21.2,NA,13.2,NA,2.3,1.7,1.1,NA,0.8,0.3,25.4,5.7
2016-06-16,InvyMark/laSexta[30],NA,NA,29.8,20.4,NA,14.1,NA,NA,NA,NA,NA,NA,NA,25.3,4.5
2016-06-16,Sigma Dos/El Mundo[31],1500,NA,30.5,20,NA,14.1,NA,2.4,1.8,1.2,NA,NA,NA,24.8,5.7
