date,Firm,Sample,Turnout,Spanish_Socialist_Workers%27_Party,People%27s_Party_(Spain),Vox_(political_party),Unidas_Podemos,Citizens_(Spanish_political_party),Republican_Left_of_Catalonia%E2%80%93Sovereigntists,M%C3%A1s_Pa%C3%ADs,Together_for_Catalonia_(2020),Basque_Nationalist_Party,EH_Bildu,Popular_Unity_Candidacy,Canarian_Coalition%E2%80%93New_Canaries,Galician_Nationalist_Bloc,Navarra_Suma,Regionalist_Party_of_Cantabria,Teruel_Existe,Lead,Together_for_Catalonia_(2017)
2021-12-30,ElectoPanel/Electomanía[1],1189,NA,24.9,23.9,19.9,11.8,3.2,3.5,2.7,2.4,1.5,1.3,1,0.7,0.9,0.5,0.2,0.1,1.0,NA
2021-12-30,40dB/Prisa[2][3],2000,NA,26.1,23.5,18.3,11.8,3.6,NA,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,NA
2021-12-30,IMOP/El Confidencial[4],1315,NA,25.2,25,18.6,12.1,2.8,3.2,2.7,1.8,1.6,1.3,1.3,0.4,1.1,0.4,0.2,0.1,0.2,NA
2021-12-30,SocioMétrica/El Español[5][6],3000,NA,25.5,24.2,17.7,12.3,4.3,2.8,3.2,2,1.4,1,1,0.6,0.7,0.4,0.2,0.1,1.3,NA
2021-12-27,PSOE[7],NA,NA,29,22,17,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.0,NA
2021-12-26,Sigma Dos/Antena 3[8][9],NA,NA,25.7,28.8,15.7,10.6,3.2,3,3,1,1.9,NA,NA,NA,NA,NA,NA,NA,3.1,NA
2021-12-24,Sigma Dos/El Mundo[10][11],2619,NA,26,27.4,16.6,10.9,3.1,3,3.1,2,1.9,NA,NA,NA,NA,NA,NA,NA,1.4,NA
2021-12-23,ElectoPanel/Electomanía[12],1299,NA,25.3,24.6,19.5,11.4,3.2,3.5,2.7,2.4,1.5,1.3,1,0.6,0.9,0.5,0.2,0.1,0.7,NA
2021-12-22,KeyData/Público[13],NA,67.1,25.7,26.4,17.1,11.1,3.1,3.4,3.1,2.1,1.6,1.1,0.9,0.5,NA,NA,NA,NA,0.7,NA
2021-12-19,DYM/Henneo[14],1012,NA,25.6,27.6,16.9,10.6,4.7,NA,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0,NA
2021-12-17,Celeste-Tel/Onda Cero[15][16],1100,NA,26,27.9,16.1,10.2,3.4,3.2,3.9,2.4,1.5,1.2,0.9,0.6,0.7,0.4,0.2,0.1,1.9,NA
2021-12-17,IMOP/El Confidencial[17],1297,NA,25.7,24.7,19.1,11.8,2.4,3.2,2.5,1.8,1.6,1.2,1.2,0.5,1,0.4,0.2,0.1,1.0,NA
2021-12-16,GAD3/ABC[18][19],1003,68,25.1,28.5,17.1,9.8,2.5,3.3,2.5,2.1,1.6,1.3,0.8,0.6,0.8,0.4,0.2,0.1,3.4,NA
