date,Firm,Sample,Turnout,psoe,pp,vox,sumar,erc,jxcat20,pnc,bildu,cup,cc,bng,nap,emp,Lead,podemos,cs,ccnc,prc,upodemos,mas
2023-06-10,SocioMétrica/El Español[1],1010,NA,25.4,32.1,15,12.7,2.4,2.5,1.6,1.7,0.7,0.4,0.9,0.3,1.1,6.7,NA,NA,NA,NA,NA,NA
2023-06-10,ElectoPanel/Electomanía[2],3557,NA,25.9,31.4,16,14.8,2,1.8,1.5,1.4,0.7,0.4,1,0.3,0.2,5.5,NA,NA,NA,NA,NA,NA
2023-06-08,Data10/OKDiario[3],1500,NA,22.8,34.1,15.6,13.6,2.6,2.6,1.5,1.6,0.8,0.6,0.9,0.2,0.1,11.3,NA,NA,NA,NA,NA,NA
2023-06-08,GAD3/ABC[4][5],2007,70,27.7,36.6,12.4,11.2,2.3,1.9,1.3,1.4,0.8,0.5,0.7,0.1,0.1,8.9,NA,NA,NA,NA,NA,NA
2023-06-08,Sigma Dos/El Mundo[6],1711,NA,27.6,34.6,11.9,12.6,3,2.3,1.5,1.1,NA,NA,NA,NA,NA,7.0,NA,NA,NA,NA,NA,NA
2023-06-03,NC Report/La Razón[7],1000,65.5,23.3,34.6,14.3,10.5,3.1,2,1.5,1.3,NA,NA,NA,NA,NA,11.3,4.22/3,NA,NA,NA,NA,NA
2023-06-03,SocioMétrica/El Español[8],1140,NA,23.9,31.8,16.1,9.8,2.5,2.2,1.5,1.5,0.6,NA,0.7,0.2,1,7.9,4.94,NA,0.41,0.21,NA,NA
2023-06-02,Data10/OKDiario[9],1500,NA,22.1,34.3,15.9,13.9,2.6,2.6,1.5,1.7,0.7,NA,0.8,0.2,0.1,12.2,[a],NA,0.62,0.20,NA,NA
2023-06-02,Target Point/El Debate[10],1027,62.4,27.6,34.4,13.6,12.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.8,[a],NA,NA,NA,NA,NA
2023-06-02,ElectoPanel/Electomanía[11],1854,NA,25.3,31.7,16.2,15.7,1.9,1.9,1.6,1.4,0.8,NA,1,0.3,0.2,6.4,[a],NA,0.61,0.10,NA,NA
2023-06-02,ElectoPanel/Electomanía[11],1854,NA,26.7,32.9,15.9,9.2,2,1.8,1.6,1.4,0.9,NA,1.1,0.2,0.2,6.2,3.12,NA,0.61,0.10,NA,NA
2023-06-02,InvyMark/laSexta[12],1200,NA,24.3,32.6,14.4,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.3,5.2,NA,NA,NA,NA,NA
2023-06-01,40dB/Prisa[13][14],800,NA,27.2,32.3,13.6,15.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.1,[a],NA,?1,?0,NA,NA
2023-06-01,40dB/Prisa[13][14],800,NA,27.3,31.6,15,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3,4.43,NA,?1,?0,NA,NA
2023-06-01,GESOP/Prensa Ibérica[15],1003,NA,27.6,30.7,14.6,13,1.9,1.9,NA,NA,NA,NA,NA,NA,NA,3.1,1.92/3,NA,NA,NA,NA,NA
2023-06-01,Sigma Dos/El Mundo[16],2401,NA,25.7,34.2,12.1,14.2,3.1,2.4,1.4,1.1,NA,NA,NA,NA,NA,8.5,[a],NA,NA,NA,NA,NA
2023-05-30,IMOP/El Confidencial[17],914,NA,24.6,34.4,16.3,10.2,2.5,1.8,1.5,1.3,NA,NA,1,NA,NA,9.8,[a],0.20,0.31,NA,NA,NA
2023-05-29,Data10/OKDiario[18],1500,NA,21.3,33.7,15.4,15,2.5,2.6,1.5,1.6,0.6,NA,0.8,0.2,0.1,12.4,[a],1.40,0.62,0.20,NA,NA
2023-05-28,2023 local elections,NA,63.9,28.1,31.5,7.2,5.5,2.3,2.5,1.4,1.6,0.6,NA,1.1,0.4,0.1,3.4,2.0,1.4,0.7,0.3,NA,NA
2023-05-19,ElectoPanel/Electomanía[19],2001,NA,25.2,31,14.9,14.4,2.4,1.9,1.8,1.4,0.8,NA,0.7,0.2,0.2,5.8,[a],2.51,0.51,0.31,NA,NA
2023-05-19,ElectoPanel/Electomanía[19],2001,NA,26.8,30.3,15,8.2,2.6,2,1.9,1.4,0.9,NA,0.7,0.2,0.2,3.5,4.63,2.61,0.52,0.31,NA,NA
2023-05-12,ElectoPanel/Electomanía[20],2155,NA,24.5,31.6,14.6,14.7,2.4,2,1.6,1.4,0.8,NA,0.7,0.4,0.4,7.1,[a],2.51,0.62,0.21,NA,NA
2023-05-12,ElectoPanel/Electomanía[20],2155,NA,26.4,30.6,15,8.3,2.6,2,1.8,1.4,0.9,NA,0.7,0.2,0.3,4.2,4.63,2.41,0.61,0.31,NA,NA
2023-05-11,Simple Lógica/elDiario.es[21],1013,70.2,26.2,27.9,15.8,10.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,7.3,1.2,NA,NA,NA,NA
2023-05-09,GAD3/NIUS[22],1011,NA,26.9,32.9,13.2,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.0,6.211/13,1.40,NA,NA,NA,NA
2023-05-08,CIS[23][24],4030,NA,29.1,27.2,10.6,12.3,2.4,1.2,0.9,0.9,0.7,NA,0.8,0.1,0.1,1.9,6.1,2.3,0.5,0.1,NA,NA
2023-05-06,NC Report/La Razón[25],1000,66,22.3,33.2,13.5,11.6,3.1,NA,NA,NA,NA,NA,NA,NA,NA,10.9,4.92/4,NA,NA,NA,NA,NA
2023-05-05,SocioMétrica/El Español[26],900,NA,24.1,28.9,16,9.9,2.4,1.9,1.4,1.1,0.7,NA,0.5,0.3,0.6,4.8,6.78,2.41,0.41,0.21,NA,NA
2023-05-05,ElectoPanel/Electomanía[27],2022,NA,24.5,32,14.6,14.7,2.4,1.9,1.5,1.3,0.8,NA,0.7,0.3,0.2,7.5,[a],2.51,0.50,0.21,NA,NA
2023-05-05,ElectoPanel/Electomanía[27],2022,NA,26.5,30.8,14.7,8.7,2.6,2,1.6,1.4,0.8,NA,0.7,0.3,0.3,4.3,4.63,2.51,0.51,0.21,NA,NA
2023-04-28,InvyMark/laSexta[28],NA,NA,24.1,29.7,14,10.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.6,5.6,0.9,NA,NA,NA,NA
2023-04-28,ElectoPanel/Electomanía[29],NA,NA,24.6,31.7,14.5,14.6,2.4,1.9,1.6,1.3,0.8,NA,0.7,0.3,0.2,7.1,[a],2.51,0.61,0.21,NA,NA
2023-04-28,ElectoPanel/Electomanía[29],NA,NA,26.3,30.5,14.6,9.1,2.6,2,1.6,1.4,0.8,NA,0.7,0.3,0.3,4.2,4.73,2.51,0.51,0.21,NA,NA
2023-04-27,Data10/OKDiario[30],1500,NA,21.2,32.8,15.7,15.8,3,2,1.6,1.5,NA,NA,NA,NA,NA,11.6,[a],2.10,NA,NA,NA,NA
2023-04-27,Data10/OKDiario[30],1500,NA,22.6,32,15.2,8.8,3,2,1.6,1.5,NA,NA,NA,NA,NA,9.4,6.710,2.10,NA,NA,NA,NA
2023-04-27,Sigma Dos/El Mundo[31],2059,NA,23.2,30.5,13.6,12.8,3.2,2.3,1.5,0.9,NA,NA,NA,NA,NA,7.3,5.96,1.20,NA,NA,NA,NA
2023-04-25,40dB/Prisa[32][33],2000,NA,24.8,28.8,14.1,18.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.0,[a],2.10/1,?1,?1,NA,NA
2023-04-25,40dB/Prisa[32][33],2000,NA,25.1,28.4,14.5,10.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3,6.910/13,2.00/1,?2,?1,NA,NA
2023-04-21,KeyData/Público[34],NA,69,24.2,31.1,15,9.7,3.4,2,1.5,1.1,1,NA,NA,NA,NA,6.9,6.29,1.70,?2,?1,NA,NA
2023-04-21,DYM/Henneo[35],1008,NA,24.7,30.6,14.6,9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.9,6.87/10,2.20/1,NA,NA,NA,NA
2023-04-21,Celeste-Tel/Onda Cero[36][37],1100,64.9,23.7,32.2,14.5,9.8,3.3,2.1,1.5,1.1,0.9,NA,0.7,0.2,0.1,8.5,5.24,2.41,0.42,0.21,NA,NA
2023-04-21,ElectoPanel/Electomanía[38],2624,NA,24.9,31.8,14.5,14.4,2.3,2,1.6,1.3,0.8,NA,0.7,0.3,0.2,6.9,[a],2.61,0.61,0.21,NA,NA
2023-04-21,ElectoPanel/Electomanía[38],2624,NA,25.9,30.5,14.7,9.3,2.6,2,1.7,1.3,0.8,NA,0.7,0.3,0.2,4.6,4.73,2.61,0.62,0.21,NA,NA
